movielens	5	0	103	0.0008	0.0003
movielens	5	1	21	0.025	0.0002
movielens	5	2	118	0.00015	0.0002
movielens	5	3	8	0.0009	0.0003
movielens	5	4	22	0.0035	0.00046
movielens	5	5	86	0.007	0.00017
yelp	5	0	118	0.005	0.0006
yelp	5	1	45	0.004	0.00065
yelp	5	2	91	0.0018	0.001
yelp	5	3	101	0.01	0.00076
yelp	5	4	49	0.015	0.00035
yelp	5	5	61	0.003	0.0008
amazon_music	5	0	99	0.00178	0.001
amazon_music	5	1	96	0.00068	0.001
amazon_music	5	2	122	0.00314	0.000719
amazon_music	5	3	100	0.002	0.001
amazon_music	5	4	109	0.00659	0.000725
amazon_music	5	5	107	0.000546	0.00085
amazon_electronic	5	0	97	0.0015	0.0009
amazon_electronic	5	1	61	0.00543	0.00025
amazon_electronic	5	2	81	0.00175	0.000408
amazon_electronic	5	3	107	0.0048	0.000735
amazon_electronic	5	4	97	0.00711	0.000162
amazon_electronic	5	5	124	0.00871	0.000666
movielens	7	0	26	0.015	0.0001
movielens	7	1	112	0.0074	0.0002
movielens	7	2	66	0.0015	0.0005
movielens	7	3	8	0.002	0.00075
yelp	7	0	69	0.00878	0.00077
yelp	7	1	74	0.00484	0.001
yelp	7	2	92	0.0066	0.00004
yelp	7	3	81	0.000126	0.00076
amazon_music	7	0	92	0.000522	0.000884
amazon_music	7	1	77	0.0033	0.000819
amazon_music	7	2	92	0.0013	0.000672
amazon_music	7	3	100	0.0116	0.000619
amazon_electronic	7	0	115	0.00797	0.00087
amazon_electronic	7	1	112	0.00133	0.000451
amazon_electronic	7	2	60	0.0018	0.000302
amazon_electronic	7	3	115	0.00216	0.000699
