movielens	5	0	102	1	0.0000491	0.000458
movielens	5	1	31	3	0.0000636	0.00272
movielens	5	2	59	2	0.000092	0.000985
movielens	5	3	39	2	0.0000198	0.00625
movielens	5	4	10	1	0.000000699	0.00159
movielens	5	5	71	1	0.0000256	0.00103
yelp	5	0	30	3	0.00003	0.001
yelp	5	1	107	3	0.00006	0.001
yelp	5	2	13	3	0.000045	0.0002
yelp	5	3	60	2	0.0000054	0.0043
yelp	5	4	111	2	0.00002	0.0015
yelp	5	5	52	1	0.0000656	0.000263
amazon_music	5	0	101	3	0.000002	0.01
amazon_music	5	1	119	3	0.000002	0.008
amazon_music	5	2	111	3	0.00000035	0.0047
amazon_music	5	3	117	2	0.000001	0.0088
amazon_music	5	4	48	3	0.000001	0.0063
amazon_music	5	5	87	3	0.000001	0.007
amazon_electronic	5	0	119	3	0.00000129	0.04
amazon_electronic	5	1	41	2	0.00000608	0.0119
amazon_electronic	5	2	94	2	0.00000625	0.00661
amazon_electronic	5	3	70	1	0.00000352	0.00445
amazon_electronic	5	4	86	3	0.000025	0.0000557
amazon_electronic	5	5	36	3	0.00000124	0.0108
movielens	7	0	64	3	0.00007	0.0003
movielens	7	1	32	3	0.0000003	0.005
movielens	7	2	64	3	0.00007	0.0003
movielens	7	3	64	1	0.00008	0.0002
yelp	7	0	13	3	0.0000017	0.0025
yelp	7	1	70	3	0.0001	0.00053
yelp	7	2	52	2	0.000001	0.0086
yelp	7	3	119	3	0.000037	0.0016
amazon_music	7	0	109	3	0.00000128	0.004
amazon_music	7	1	63	3	0.000001	0.009
amazon_music	7	2	79	2	0.000000675	0.008
amazon_music	7	3	86	3	0.000000285	0.06
amazon_electronic	7	0	65	3	0.00000516	0.00418
amazon_electronic	7	1	30	2	0.00000449	0.0117
amazon_electronic	7	2	82	3	0.00000318	0.0019
amazon_electronic	7	3	69	3	0.00000628	0.0026
